PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03LVu,r2qkb1r/ppp2ppp/4b3/8/Q1n5/4PN2/PP2B1PP/R1B2RK1 b kq - 1 12,d8d7 a4d7 e6d7 e2c4,1318,76,88,947,advantage opening short,https://lichess.org/JAHAT8fn/black#24,Queen's Gambit Declined
03LpJ,4r1k1/p1pq1pp1/2pb1n1p/1r6/4P3/2P2PB1/PPQ3PP/RN1R2K1 b - - 3 16,b5b2 c2b2 d6c5 d1d4,1880,75,88,1344,crushing hangingPiece middlegame short,https://lichess.org/kmUlLakY/black#32,Ruy Lopez
03M1K,r1bq1rk1/pp2b1pp/2n1p3/2p3B1/3pn3/3P1N2/PPPQBPPP/R3K2R w KQ - 0 11,g5e7 e4d2 e7d8 d2f3,1501,74,67,103,crushing middlegame short,https://lichess.org/wGep6We7#21,Sicilian Defense
03MIy,3r1rk1/1p1bqpp1/p3p2p/8/3PQ3/3B4/PP3PPP/3RR1K1 b - - 2 18,d7c6 e4h7,924,136,100,24,mate mateIn1 middlegame oneMove,https://lichess.org/nehFAlkV/black#36,French Defense
03Mqr,1r1q1rk1/p2bbpp1/2pppn1p/8/3NP2B/2N3R1/PPP2PPP/R2Q2K1 b - - 5 13,f6e4 h4e7 d8e7 c3e4,1781,74,94,2176,advantage intermezzo middlegame short,https://lichess.org/GrALWMPf/black#26,Sicilian Defense
03MuM,r2q1rk1/1pp2ppb/2n1pn1p/p7/2Pp4/PP1P1NPP/1B1QPPB1/R4RK1 w - - 1 16,f3d4 c6d4 b2d4 d8d4,892,77,84,138,advantage middlegame short,https://lichess.org/obE4zTFL#31,King's Indian Attack
03MvE,r2q1rk1/ppp1bpp1/2n1b2p/3nP3/2B5/5N2/PPP1QPPP/RNBR2K1 w - - 5 10,b1c3 d5c3 b2c3 e6c4,1455,78,100,213,advantage discoveredAttack master opening short,https://lichess.org/3juzeVJX#19,Italian Game
03N1y,4r1k1/1pp2ppp/1b2bn2/3q4/Q2PP3/5N2/4BPPP/B4RK1 b - - 0 17,f6e4 a4e8,595,94,71,129,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4kW7FMfy/black#34,English Opening
03NGi,r1bq1rk1/ppp2ppp/2nbp3/8/3P4/2PB1N2/P1PB1PPP/R2Q1RK1 w - - 6 10,d3h7 g8h7 f3g5 h7g6,1879,79,89,73,advantage hangingPiece opening short,https://lichess.org/QOoad2vK#19,Scandinavian Defense
03NHS,2bqr1k1/5pbp/4pnp1/rp1P4/8/1B3N1P/PB1Q1PP1/R3R1K1 b - - 0 19,f6d5 b2g7 g8g7 b3d5,2135,83,83,48,crushing intermezzo middlegame short,https://lichess.org/hFjQOH26/black#38,Queen's Gambit Declined
03NKN,3rk2r/Q2bbppp/3q4/2p1R3/3p1P2/2PP4/PP4PP/RNB3K1 w k - 4 19,a7c5 d6c5 e5c5 e7c5,688,96,73,134,advantage middlegame short,https://lichess.org/fTtsyJx0#37,Ruy Lopez
03Nb5,r1b2rk1/ppp2ppp/8/2bP4/7q/1B1Q4/PPP3PP/RNB1R2K w - - 1 15,b1c3 h4e1 d3f1 e1f1,728,82,98,604,hangingPiece kingsideAttack mate mateIn2 opening short,https://lichess.org/7tGYurhD#29,Scotch Game
03NcI,2r2r1k/pbq1Q1pp/1p1p1n2/8/3P1B2/2P5/PP1n1PPP/1BR1R1K1 w - - 0 18,f4d2 c7c6 f2f3 c8e8 e7f8 e8f8,1875,75,93,2121,advantage long middlegame trappedPiece,https://lichess.org/aINZmSqb#35,Indian Defense
03NlW,r2q2k1/p1p1b1pn/2pp3p/5r1P/8/2N5/PPPBQPP1/R3K2R b KQ - 1 14,e7f6 e2e6 g8h8 e6f5,1202,78,99,6592,crushing fork middlegame short,https://lichess.org/4oReeLxT/black#28,Scotch Game
03OJW,r2q3r/pbpn1k2/1p2pb1B/4n3/4NQp1/3B4/PPP2PPP/R3R1K1 b - - 3 16,e5g6 e4g5 f7g8 d3g6,1632,75,96,1043,crushing deflection discoveredAttack middlegame pin short,https://lichess.org/7Q9D82ua/black#32,French Defense
03OoQ,r2q1rk1/p3bpp1/1np1pn1p/1p3b1N/3Pp3/P1N5/1PP2PPP/R1BQRBK1 b - - 3 13,f5g4 h5f6 e7f6 d1g4,1033,77,99,1468,advantage kingsideAttack opening short,https://lichess.org/WQAWPwME/black#26,Caro-Kann Defense
03Oqv,r2qkn1R/p4pp1/2n1p3/1N1p2P1/1ppPPN2/5P2/PPPQ4/2K5 b q - 0 19,d8g5 h8f8 e8f8 f4e6 f7e6 d2g5,1970,76,94,10149,attraction crushing discoveredAttack long middlegame,https://lichess.org/oYj5Qz1x/black#38,Rapport-Jobava System
03PFj,2kr3r/Bppnqpbp/3p1np1/3P4/4P3/2PQ1B2/PPK3R1/RN6 b - - 0 16,b7b6 d3a6,1253,158,0,13,mate mateIn1 middlegame oneMove,https://lichess.org/4y2GIhW6/black#32,King's Gambit Accepted
03PUc,r2q1rk1/p1p2ppp/5n2/1pb1p3/4P3/1P4NP/1PP2PP1/R1BQ1RK1 b - - 0 14,c5f2 g1f2 d8d1 f1d1,1696,82,75,39,crushing hangingPiece middlegame short,https://lichess.org/6QaRsh0k/black#28,Italian Game
03PeH,r1b2rk1/2q2pbp/p1N2np1/2pP4/1p2P3/2N4P/PP2BPP1/R2QK2R w KQ - 2 16,e4e5 b4c3 e5f6 g7f6 e1g1 c3b2,1969,77,87,52,advancedPawn crushing long middlegame,https://lichess.org/B0Aqq7o6#31,King's Indian Defense
03Pky,2r1k2r/ppqn1ppp/4p3/3pN3/Q2P4/P3P3/5PPP/2R2RK1 b k - 3 17,c7c1 a4d7 e8f8 d7f7,1126,81,88,1382,mate mateIn2 middlegame short,https://lichess.org/pqOFMihS/black#34,Queen's Gambit Declined
03QIF,2kr1b1r/Qpp2pp1/3qp1p1/8/N2P4/1P6/PB3n1P/1K1R3R b - - 0 19,f2h1 a4c5 d6a6 c5a6,1951,76,86,216,crushing middlegame short,https://lichess.org/s3C5iThI/black#38,Nimzo-Larsen Attack
03Qdr,r6r/1p1kbpp1/6p1/p1pp4/6P1/P2P3P/1PP2PK1/R1B1R3 b - - 3 19,h8h4 e1e7 d7e7 c1g5 e7d7 g5h4,1230,79,95,5984,attraction crushing endgame exposedKing fork long sacrifice,https://lichess.org/0saEK0Bh/black#38,Scandinavian Defense
03RCd,r3kb1r/pp1bnppp/1qn1p3/3pP3/3P1P2/2NB1N2/PP4PP/R1BQK2R b KQkq - 2 9,c6d4 f3d4 b6d4 c3b5 d4b6 b5d6,1897,75,85,112,advantage long opening,https://lichess.org/fId4Pftn/black#18,French Defense
03RkI,r1b1k2r/p2p1ppp/2p1pq2/8/8/8/PPP1PPPP/R2QKB1R w KQkq - 0 10,b2b3 f6c3 d1d2 c3a1,1116,77,66,214,crushing deflection middlegame short,https://lichess.org/cMiN2G6a#19,Zukertort Opening
03Rmn,2kr3r/pp2bpp1/1q2pn2/1b5p/2B2B2/1N3P1P/PP1Q1P2/2R2RK1 b - - 0 17,d8d2 c4e6 c8d8 c1c8,1997,77,91,1365,doubleCheck mate mateIn2 middlegame queensideAttack short,https://lichess.org/UPkf6KvG/black#34,Caro-Kann Defense
03Rqm,r2q1rk1/ppp2ppp/2nb4/3b1Q2/2NP4/2PBP3/PP4PP/R3K2R b KQ - 1 14,d5c4 f5h7,1191,168,100,38,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/aj7JdI3K/black#28,French Defense
03RtW,1n3rk1/rb1qp2p/1p1p2pn/p1pP2N1/2P1P3/1PQ3PP/P4PB1/R4RK1 b - - 0 18,h6f7 g5e6 d7e6 d5e6,1469,76,82,693,crushing middlegame short,https://lichess.org/UNvwCIxE/black#36,Modern Defense
03RyA,2rqr1k1/1b3ppQ/p1p2b1p/1pn5/3P4/5N2/PP3PPP/1BR1R1K1 b - - 1 18,g8f8 h7h8,797,93,47,35,mate mateIn1 oneMove opening,https://lichess.org/6byYD3l4/black#36,Queen's Gambit Declined
03SK2,rn3rk1/ppb1q1pp/2p5/3PPp2/4nB2/3QPN2/PP3PPP/R4RK1 b - - 0 14,c6d5 d3d5 g8h8 d5b7 b8a6 b7a6,1419,121,82,21,advantage long middlegame,https://lichess.org/w0y15fDG/black#28,Queen's Pawn Game
03SKN,2rq1rk1/1b2bpp1/1np1pB1p/pp6/3P4/2NQPN2/PP3PPP/1BR2RK1 b - - 0 15,e7f6 d3h7,691,99,74,182,mate mateIn1 oneMove opening,https://lichess.org/B98aKyBY/black#30,Semi-Slav Defense
03SUf,r2q3r/pp2kpp1/2n1pb2/3p4/3n2Q1/2NB4/PPPB1PPP/3RR1K1 b - - 6 19,f6e5 e1e5 c6e5 g4d4,2025,77,94,6534,capturingDefender crushing deflection middlegame short,https://lichess.org/V6XSIpyo/black#38,Caro-Kann Defense
03Sst,r3nrk1/pp1b2p1/4p2p/3p4/8/1NPB4/PP3qPP/R2QR2K b - - 1 17,d7c6 e1f1 f2h4 d3h7 g8h7 f1f8,1927,78,93,6366,advantage deflection long middlegame,https://lichess.org/cBmqn7VL/black#34,"Queen's Pawn Game: Torre Attack, Gossip Variation"
