PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00Lyc,4R3/1p4k1/1q1N1bpp/3B4/5p1P/p4P2/3RK1P1/8 w - - 4 42,d6e4 b6b5 d2d3 b5e8,1935,76,78,133,crushing endgame fork master short,https://lichess.org/YB9ozD4y#83,
00M0i,r3r2k/p2n1p1R/5n2/qp3Q2/3P4/B3Pp2/P4P1P/1B5K b - - 0 23,h8g8 f5g5,1126,76,67,139,mate mateIn1 middlegame oneMove,https://lichess.org/ZWoXGjH0/black#46,
00M1q,2r3k1/2r1q1p1/p3p1Q1/1p1p4/nP1P4/2P4R/P4PPP/2R3K1 b - - 0 30,e7f6 g6h7 g8f7 h3f3 f6f3 g2f3,1385,74,91,3147,advantage long middlegame pin,https://lichess.org/nsAQV9mj/black#60,
00M6i,6k1/1N4pp/p7/4bp2/P1P5/1r6/6PP/2R3K1 w - - 1 33,b7c5 e5d4 g1f1 d4c5,1143,119,43,19,crushing endgame fork short,https://lichess.org/kUhFtcHh#65,
00MBF,7k/np2b1pp/p1b2p2/2P1pq2/PPQ4P/5PP1/1B5K/3BN3 b - - 0 29,c6d7 d1b3 f5h3 h2g1 d7e6 c4e6 h3e6 b3e6,2002,77,84,88,advantage middlegame quietMove veryLong,https://lichess.org/qknEpIjx/black#58,
00MDy,8/pp6/2p1k3/2Pp2pp/1P1P1p2/P2K1P2/6PP/8 w - - 0 42,g2g3 f4g3 h2g3 h5h4 g3h4 g5h4,1496,75,93,148,crushing endgame long pawnEndgame,https://lichess.org/LQDmrg5w#83,
00ME0,8/1p6/p1b5/5k1p/1PB1p2P/P3P1K1/8/8 b - - 2 35,f5e5 c4f7 c6d7 f7h5,1625,78,91,3234,bishopEndgame crushing endgame short,https://lichess.org/Z2H5mRQg/black#70,
00MFe,3r3k/p5pp/2r2q2/2p4Q/8/8/P5PP/3R1R1K b - - 5 29,d8d1 h5e8 f6f8 e8f8,1384,75,93,2128,endgame mate mateIn2 short,https://lichess.org/d1J7UJ4D/black#58,
00MGA,r3r1k1/6b1/p2Nn2p/1P1Qp3/6nq/2P5/1PB2PP1/R1B1R1K1 w - - 1 30,g2g3 h4h2 g1f1 h2f2,919,92,91,883,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/dsGjft94#59,
00MHi,8/8/5pp1/5k1p/5P1P/4R1P1/2r5/5K2 w - - 0 43,e3e2 c2e2 f1e2 f5g4 e2f2 g4h3,2231,81,73,217,crushing endgame long rookEndgame zugzwang,https://lichess.org/im48PGD7#85,
00MIY,6k1/3R3p/1p5q/3P4/3QP1pN/6P1/PPr3B1/5rK1 w - - 0 25,g1f1 h6c1 d4d1 c1d1,1500,82,83,50,endgame mate mateIn2 short,https://lichess.org/SHHHsXB9#49,
00MNf,r1b3k1/pp3Rpp/3p4/2pN4/2P4b/5Q1P/PPP3P1/4qNK1 b - - 0 21,h4f6 f7f6 g7f6 f3f6,2027,145,50,19,crushing middlegame short,https://lichess.org/S4llTtjA/black#42,
00MTG,4r1k1/2p1qpp1/3p4/1p1P2PQ/1P5b/3R3P/2PBr3/5RK1 b - - 6 26,h4f2 f1f2 e2f2 g1f2,767,106,93,275,advantage middlegame short,https://lichess.org/iabpAKVz/black#52,
00MWz,8/8/2B5/4pK2/3k1pPp/5n1P/8/8 b - - 3 57,f3g1 g4g5 g1e2 g5g6,844,86,98,2368,crushing endgame quietMove short,https://lichess.org/1sHbVvW6/black#114,
00MYL,1R6/3k1Q2/p2b1p2/2r1p3/3n4/P6P/5PP1/4qBK1 b - - 1 40,d7c6 f7b7,1140,81,94,577,mate mateIn1 middlegame oneMove,https://lichess.org/fwb6IEPk/black#80,
00MZr,1k5r/ppp5/2p5/3n4/5pQ1/3P1P1r/PPP2K2/5R2 w - - 2 26,f1g1 h3h2 g1g2 d5e3,1991,78,90,1432,crushing endgame short,https://lichess.org/LITlSDhw#51,
00Mbv,2k2b1r/pp3ppp/1n6/BN2p1P1/2Q1Nn1P/8/PP3P2/2KR4 b - - 0 24,b6c4 d1d8,1536,81,93,3689,mate mateIn1 middlegame oneMove,https://lichess.org/h1QfViUk/black#48,
00Mca,1k6/1Pp1rqp1/p1R5/6pp/Q6P/1P6/P4PBK/3r4 b - - 5 34,e7e6 a4c4 e6c6 c4f7,2323,79,90,4537,crushing endgame short,https://lichess.org/FcSCJACK/black#68,
00Mei,8/6rk/6p1/1R3b1p/2pQ1P2/2P3P1/qP4PK/8 b - - 0 36,f5d3 d4d8 a2a7 b5b8 a7b8 d8b8,2591,86,83,213,advantage endgame long master quietMove,https://lichess.org/xvCSyLc3/black#72,
00Mf0,2kr3r/pp1b1pq1/2n1p3/2Pp4/5Np1/1QP3P1/P4PBP/R4RK1 b - - 4 19,g7h6 f1b1 h6h2 g1f1 c6a5 b3b4,2370,93,89,511,advantage long master middlegame quietMove,https://lichess.org/rkMC42R8/black#38,
00Msq,r5k1/1pp2Bp1/5n1p/1q2N3/3P4/7P/5PP1/4Q1K1 b - - 2 30,g8f8 f7c4 b5c4 e5c4,1877,80,93,808,crushing endgame master short,https://lichess.org/2cdEjZvR/black#60,
00MwU,3r1b1R/ppq3p1/2k3P1/3p4/1P1Q4/4PP2/P1P5/2K5 b - - 0 26,a7a6 h8f8 d8f8 d4c5 c6d7 c5f8,1768,75,91,269,advantage attraction endgame fork long sacrifice,https://lichess.org/r7d4mCDm/black#52,
00MyT,r3q3/1ppknr2/p5pB/2pPn3/4P3/8/PPQ3BP/2K2R1R w - - 0 22,c2c5 e5d3 c1c2 d3c5,923,90,73,48,crushing fork middlegame short,https://lichess.org/IhPV4vCX#43,
00Mzs,r6r/p5pp/1p3nk1/5n2/1q6/5N2/P5PP/R2QR2K b - - 1 24,a8d8 f3e5 g6g5 e5f7,2017,136,25,12,advantage middlegame short,https://lichess.org/RWXjVv9Z/black#48,
